ID,VI1,VI2,VD
sgzOS2fK2Kb0fCZk9hxAWA**,6,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,18,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,9,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,36,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,1,1,0
sgzOS2fK2Kb0fCZk9hxAWA**,2,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,4,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,2,2,0
sgzOS2fK2Kb0fCZk9hxAWA**,2,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,9,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,4,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,3,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,24,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,12,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,1,2,0
sgzOS2fK2Kb0fCZk9hxAWA**,3,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,24,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,1,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,12,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,12,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,4,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,6,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,6,2,1
sgzOS2fK2Kb0fCZk9hxAWA**,9,1,1
sgzOS2fK2Kb0fCZk9hxAWA**,3,2,1
sgzOS2fK2KYXGiHQsksFag**,6,1,1
sgzOS2fK2KYXGiHQsksFag**,36,1,1
sgzOS2fK2KYXGiHQsksFag**,4,2,1
sgzOS2fK2KYXGiHQsksFag**,6,2,1
sgzOS2fK2KYXGiHQsksFag**,12,2,1
sgzOS2fK2KYXGiHQsksFag**,24,1,1
sgzOS2fK2KYXGiHQsksFag**,2,2,1
sgzOS2fK2KYXGiHQsksFag**,9,1,1
sgzOS2fK2KYXGiHQsksFag**,3,2,1
sgzOS2fK2KYXGiHQsksFag**,3,1,1
sgzOS2fK2KYXGiHQsksFag**,1,2,1
sgzOS2fK2KYXGiHQsksFag**,24,2,1
sgzOS2fK2KYXGiHQsksFag**,9,2,1
sgzOS2fK2KYXGiHQsksFag**,6,2,1
sgzOS2fK2KYXGiHQsksFag**,2,1,1
sgzOS2fK2KYXGiHQsksFag**,1,1,0
sgzOS2fK2KYXGiHQsksFag**,3,2,1
sgzOS2fK2KYXGiHQsksFag**,12,2,1
sgzOS2fK2KYXGiHQsksFag**,4,1,1
sgzOS2fK2KYXGiHQsksFag**,12,1,1
sgzOS2fK2KYXGiHQsksFag**,2,1,1
sgzOS2fK2KYXGiHQsksFag**,18,1,1
sgzOS2fK2KYXGiHQsksFag**,1,2,0
sgzOS2fK2KYXGiHQsksFag**,4,1,0
sgzOS2fK2KYXGiHQsksFag**,9,1,1
sgzOS2fK2KbeTpyQe7pqNw**,36,2,0
sgzOS2fK2KbeTpyQe7pqNw**,1,1,0
sgzOS2fK2KbeTpyQe7pqNw**,4,1,0
