OBSID,WEIV,INDV,DEPV,PARTID
1,3.557692308,1.2,1.255120552,1
2,3.173076923,5.4,2.970026955,1
3,3.923076923,8,6.153679943,1
4,2.942307692,6.3,2.13162549,1
5,3.1,16.1,7.67171428,1
6,3.75,22.5,25.4458006,1
7,3.1,3.7,8.516864513,1
8,2.8,11.1,22.88967765,1
9,3.5,11.6,14.0252864,1
10,3.75,1.6,2.484440966,1
11,2.9,8.8,9.380070673,1
12,3.5,2.9,11.88044485,1
13,4,0,3.268093836,1
14,3.057692308,1.7,0.795906487,1
15,3,0.7,7.23228608,1
16,2.942307692,3.5,11.95079451,1
17,3.9,4.1,4.377290177,1
18,3.4,3.3,9.685985327,1
19,3.1,25.6,15.02178696,1
20,3.5,11.7,20.89508374,1
21,3.403846154,5.9,9.292271119,1
22,3.4,9.6,8.506147945,1
1,3.557692308,1.2,-0.413217687,2
2,3.173076923,5.4,1.532282937,2
3,3.923076923,8,11.77016457,2
4,2.942307692,6.3,4.610578824,2
5,3.1,16.1,20.52726312,2
6,3.75,22.5,25.01857965,2
7,3.1,3.7,4.473936102,2
8,2.8,11.1,4.374799085,2
9,3.5,11.6,15.60254532,2
10,3.75,1.6,4.648146666,2
11,2.9,8.8,12.44169622,2
12,3.5,2.9,7.559150223,2
13,4,0,1.960064302,2
14,3.057692308,1.7,2.977086192,2
15,3,0.7,3.522411529,2
16,2.942307692,3.5,7.604477428,2
17,3.9,4.1,10.27154508,2
18,3.4,3.3,6.134276329,2
19,3.1,25.6,27.43415045,2
20,3.5,11.7,3.495738361,2
21,3.403846154,5.9,10.00663977,2
22,3.4,9.6,3.522041365,2
1,3.557692308,1.2,1.984760843,3
2,3.173076923,5.4,5.757799276,3
3,3.923076923,8,9.564992731,3
4,2.942307692,6.3,5.805218656,3
5,3.1,16.1,18.58809814,3
6,3.75,22.5,8.841447612,3
7,3.1,3.7,8.789266834,3
8,2.8,11.1,17.87077297,3
9,3.5,11.6,11.55304005,3
10,3.75,1.6,2.496097017,3
11,2.9,8.8,9.311224973,3
12,3.5,2.9,9.446653457,3
13,4,0,1.728486425,3
14,3.057692308,1.7,1.13664719,3
15,3,0.7,7.411807643,3
16,2.942307692,3.5,11.64107225,3
17,3.9,4.1,5.338540173,3
18,3.4,3.3,14.08904971,3
19,3.1,25.6,22.79439628,3
20,3.5,11.7,3.547286017,3
21,3.403846154,5.9,11.81257968,3
22,3.4,9.6,7.388568375,3
1,3.557692308,1.2,6.774588903,4
2,3.173076923,5.4,9.246030536,4
3,3.923076923,8,7.84902545,4
4,2.942307692,6.3,3.901652253,4
5,3.1,16.1,8.931722428,4
6,3.75,22.5,6.519147285,4
7,3.1,3.7,7.091749065,4
8,2.8,11.1,19.2171517,4
9,3.5,11.6,12.25667604,4
10,3.75,1.6,1.929625225,4
11,2.9,8.8,9.947973873,4
12,3.5,2.9,11.62922315,4
